"Bakerite","Ca_4_B_5_Si_3_O_15_(OH)_5_","","",""
"Bakhchisaraitsevite","Na_2_Mg_5_(PO_4_)_4_·7H_2_O","","",""
"Baksanite","Bi_6_Te_2_S_3_","","",""
"Balangeroite","Mg_21_Si_8_O_27_(OH)_20_","","",""
"Balipholite","LiBaMg_2_Al_3_(Si_2_O_6_)_2_(OH)_8_","","",""
"Balkanite","Ag_5_Cu_9_HgS_8_","","",""
"Balyakinite","Cu^2+^Te^4+^O_3_","","",""
"Bambollaite","CuSe_2_","","",""
"Bamfordite","Fe^3+^Mo_2_O_6_(OH)_3_·H_2_O","","",""
"Banalsite","Na_2_BaAl_4_Si_4_O_16_","","",""
"Bandylite","CuB(OH)_4_Cl","","",""
"Bannermanite","Na_0.7_V_6_O_15_","","",""
"Baotite","Ba_4_(Ti,Nb,W)_8_O_16_(SiO_3_)_4_Cl","","",""
"Bararite","(NH_4_)_2_SiF_6_","","",""
"Baratovite","KLi_3_Ca_7_Ti_2_(SiO_3_)_12_F_2_","","",""
"Barberiite","NH_4_BF_4_","","",""
"Barbosalite","Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_","","",""
"Barentsite","Na_7_Al(CO_3_)_2_(HCO_3_)_2_F_4_","","",""
"Bariandite","Al_0.6_(V^5+^,V^4+^)_8_O_20_·9H_2_O","","",""
"Baricite","Mg_3_(PO_4_)_2_·8H_2_O","","",""
"Bario-orthojoaquinite","Ba_4_Fe^2+^_2_Ti_2_O_2_(SiO_3_)_8_·H_2_O","","",""
"Bariosincosite","Ba(VO)_2_(PO_4_)_2_·4H_2_O","","",""
"Baryte","BaSO_4_","","",""
"Bariopharmacosiderite","Ba_0.5_Fe^3+^_4_(AsO_4_)_3_(OH)_4_·5H_2_O","","",""
"Barnesite","Na_2_V^5+^_6_O_16_·3H_2_O","","",""
"Barquillite","Cu_2_CdGeS_4_","","",""
"Barrerite","Na_8_(Si_28_Al_8_)O_72_·26H_2_O","","",""
"Barringerite","Fe_2_P","","",""
"Barroisite","[box]NaCa[Mg_3_(Al,Fe^3+^)_2_](Si_7_Al)O_22_(OH)_2_","","",""
"Barstowite","Pb_4_CO_3_Cl_6_·H_2_O","","",""
"Bartelkeite","PbFe^2+^Ge_3_O_8_","","",""
"Bartonite","K_6_Fe_20_S_26_S","","",""
"Barylite","BaBe_2_Si_2_O_7_","","",""
"Barysilite","Pb_8_Mn(Si_2_O_7_)_3_","","",""
"Barytocalcite","BaCa(CO_3_)_2_","","",""
"Barytolamprophyllite","Na_3_(BaK)Ti_3_(Si_2_O_7_)_2_O_2_(OH)_2_","","",""
"Bassanite","CaSO_4_·0.5H_2_O","","",""
"Bassetite","Fe^2+^(UO_2_)_2_(PO_4_)_2_·8H_2_O","","",""
"Bastnasite-(La)","LaCO_3_F","","",""
"Bastnasite-(Y)","YCO_3_F","","",""
"Batiferrite","BaTi_2_Fe^3+^_8_Fe^2+^_2_O_19_","","",""
"Batisite","Na_2_BaTi_2_(Si_4_O_12_)O_2_","","",""
